Services,Problématiques,Questions,Réponses,Suite Réponses
Al'in,Pourquoi je ne vois pas certaines annonces en corrélation avec mes revenus quand je me connecte ? ,Que faire si je pense qu'il y a une erreur dans le filtrage des annonces selon mes revenus ?,"En fonction des informations que vous aurez renseignées lors du dépôt de votre demande, la plateforme AL’in vous propose uniquement les offres en adéquation avec votre situation familiale, professionnelle, le secteur de recherche souhaité et les ressources de votre foyer. Comme pour tous demandeurs, vous sont proposées les offres qui correspondent à votre situation. Les critères pris en compte sont ceux sur lesquels Action Logement s’est engagé dans la convention quinquennale signée avec l’Etat (âge, taux d’effort, ancienneté de la demande…). Nous vous invitons ainsi à poursuivre dans la même dynamique de candidatures.
Bien cordialement, ^ ",
Al'in,Pourquoi je ne vois pas certaines annonces en corrélation avec mes revenus quand je me connecte ? ,Comment mettre à jour mes informations de revenus pour voir plus d'annonces pertinentes ?,"En fonction des informations que vous aurez renseignées lors du dépôt de votre demande, la plateforme AL’in vous propose uniquement les offres en adéquation avec votre situation familiale, professionnelle, le secteur de recherche souhaité et les ressources de votre foyer. Comme pour tous demandeurs, vous sont proposées les offres qui correspondent à votre situation. Les critères pris en compte sont ceux sur lesquels Action Logement s’est engagé dans la convention quinquennale signée avec l’Etat (âge, taux d’effort, ancienneté de la demande…). Nous vous invitons ainsi à poursuivre dans la même dynamique de candidatures.
Bien cordialement, ^ ",
Al'in,Problème offre de logement / hors connexion,Que faire si je rencontre un problème pour accéder aux offres de logement lorsque je ne suis pas connecté ?,"Bonjour, nous avons bien reçu votre message. Comme pour tous demandeurs, vous sont proposées les offres qui correspondent à votre situation (composition familiale, revenus...). En fonction des informations que vous aurez renseignées lors du dépôt de votre demande, la plateforme AL’in vous propose uniquement les offres qui correspondent à votre situation familiale, professionnelle, le secteur de recherche souhaité et les ressources de votre foyer. Une recherche ""hors connexion"" ne prend pas en compte l'ensemble de vos informations. Il est donc tout à fait normal que les résultats soient différents des vôtres. En vous remerciant pour votre compréhension et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
Al'in,Problème offre de logement / hors connexion,Comment les offres de logement sont-elles affectées lors des pannes de connexion ?,"Bonjour, nous avons bien reçu votre message. Comme pour tous demandeurs, vous sont proposées les offres qui correspondent à votre situation (composition familiale, revenus...). En fonction des informations que vous aurez renseignées lors du dépôt de votre demande, la plateforme AL’in vous propose uniquement les offres qui correspondent à votre situation familiale, professionnelle, le secteur de recherche souhaité et les ressources de votre foyer. Une recherche ""hors connexion"" ne prend pas en compte l'ensemble de vos informations. Il est donc tout à fait normal que les résultats soient différents des vôtres. En vous remerciant pour votre compréhension et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
Al'in,Problème offre de logement / hors connexion,"Je n'arrive pas à avoir accès aux offres, comment faire ?","Bonjour, nous avons bien reçu votre message. Comme pour tous demandeurs, vous sont proposées les offres qui correspondent à votre situation (composition familiale, revenus...). En fonction des informations que vous aurez renseignées lors du dépôt de votre demande, la plateforme AL’in vous propose uniquement les offres qui correspondent à votre situation familiale, professionnelle, le secteur de recherche souhaité et les ressources de votre foyer. Une recherche ""hors connexion"" ne prend pas en compte l'ensemble de vos informations. Il est donc tout à fait normal que les résultats soient différents des vôtres. En vous remerciant pour votre compréhension et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
Al'in,Je suis reconnu DALO pourtant je n'ai que des refus,Pourquoi suis-je refusé pour des logements malgré mon statut DALO reconnu ?,"Bonjour, nous venons d'avoir un retour service qui nous indique les informations suivantes. 
Vous nous indiquez avoir une ou plusieurs de vos candidatures non retenues et vous souhaitez des explications compte tenu de votre reconnaissance DALO.
Nous vous informons que notre service Locatif procède à une analyse de l’ensemble des candidatures pour chaque offre publiée sur notre plateforme.
A l’issue de cette étude, seules 5 d’entre elles sont retenues pour en présenter 3 au bailleur.
Action Logement Services applique les critères du logement social en France valables pour tous les demandeurs y compris ceux qui bénéficient de nos services.
Selon la situation de chacun, nous veillons à respecter l’équité de traitement des demandes. Toutefois, le nombre de demandeurs de logement social reconnus DALO demeure élevé et très supérieur au nombre de logements disponibles.
Malgré les efforts importants menés par tous les acteurs du logement social (mairies, bailleurs, Etat, …) depuis de nombreuses années pour favoriser l’accès au logement de ce public, il reste toujours un écart conséquent entre l’offre et la demande.
Nous vous informons que nous publions sur notre plateforme AL’in des offres privilèges réservées aux demandeurs reconnus DALO. Celles-ci sont identifiables par un logo « DALO » et il est vivement conseillé de vous positionner sur ces dernières.
Bien cordialement, ^",
Al'in,Je suis reconnu DALO pourtant je n'ai que des refus,Quelles démarches puis-je entreprendre pour contester un refus de logement étant donné mon statut DALO ?,"Bonjour, nous venons d'avoir un retour service qui nous indique les informations suivantes. 
Vous nous indiquez avoir une ou plusieurs de vos candidatures non retenues et vous souhaitez des explications compte tenu de votre reconnaissance DALO.
Nous vous informons que notre service Locatif procède à une analyse de l’ensemble des candidatures pour chaque offre publiée sur notre plateforme.
A l’issue de cette étude, seules 5 d’entre elles sont retenues pour en présenter 3 au bailleur.
Action Logement Services applique les critères du logement social en France valables pour tous les demandeurs y compris ceux qui bénéficient de nos services.
Selon la situation de chacun, nous veillons à respecter l’équité de traitement des demandes. Toutefois, le nombre de demandeurs de logement social reconnus DALO demeure élevé et très supérieur au nombre de logements disponibles.
Malgré les efforts importants menés par tous les acteurs du logement social (mairies, bailleurs, Etat, …) depuis de nombreuses années pour favoriser l’accès au logement de ce public, il reste toujours un écart conséquent entre l’offre et la demande.
Nous vous informons que nous publions sur notre plateforme AL’in des offres privilèges réservées aux demandeurs reconnus DALO. Celles-ci sont identifiables par un logo « DALO » et il est vivement conseillé de vous positionner sur ces dernières.
Bien cordialement, ^",
Al'in,Je suis reconnu DALO pourtant je n'ai que des refus,Y a-t-il des supports supplémentaires ou des conseils pour les personnes reconnues DALO afin de maximiser leurs chances d'acceptation ?,"Bonjour, nous venons d'avoir un retour service qui nous indique les informations suivantes. 
Vous nous indiquez avoir une ou plusieurs de vos candidatures non retenues et vous souhaitez des explications compte tenu de votre reconnaissance DALO.
Nous vous informons que notre service Locatif procède à une analyse de l’ensemble des candidatures pour chaque offre publiée sur notre plateforme.
A l’issue de cette étude, seules 5 d’entre elles sont retenues pour en présenter 3 au bailleur.
Action Logement Services applique les critères du logement social en France valables pour tous les demandeurs y compris ceux qui bénéficient de nos services.
Selon la situation de chacun, nous veillons à respecter l’équité de traitement des demandes. Toutefois, le nombre de demandeurs de logement social reconnus DALO demeure élevé et très supérieur au nombre de logements disponibles.
Malgré les efforts importants menés par tous les acteurs du logement social (mairies, bailleurs, Etat, …) depuis de nombreuses années pour favoriser l’accès au logement de ce public, il reste toujours un écart conséquent entre l’offre et la demande.
Nous vous informons que nous publions sur notre plateforme AL’in des offres privilèges réservées aux demandeurs reconnus DALO. Celles-ci sont identifiables par un logo « DALO » et il est vivement conseillé de vous positionner sur ces dernières.
Bien cordialement, ^",
Al'in,Aucune proposition d'offre,Pourquoi je ne reçois aucune proposition d'offre de logement malgré ma candidature ?,"Bonjour, nous avons bien reçu votre message. Si aucune offre ne vous est proposée, il se peut que la plateforme locative ne dispose pas pour le moment d'offres adaptées aux critères que vous avez renseigné. Nous vous invitons à élargir votre zone de recherche ou à patienter que de nouvelles offres correspondant à vos critères soient déposées sur la plateforme. Vous pouvez nous contacter au 0970 800 800 (appel non surtaxé), du lundi au vendredi, de 9h à 18h pour essayer d'en savoir plus. 
Bien cordialement, ^ ",
Al'in,Aucune proposition d'offre,Comment puis-je augmenter mes chances de recevoir des propositions d'offres de logement ?,"Bonjour, nous avons bien reçu votre message. Si aucune offre ne vous est proposée, il se peut que la plateforme locative ne dispose pas pour le moment d'offres adaptées aux critères que vous avez renseigné. Nous vous invitons à élargir votre zone de recherche ou à patienter que de nouvelles offres correspondant à vos critères soient déposées sur la plateforme. Vous pouvez nous contacter au 0970 800 800 (appel non surtaxé), du lundi au vendredi, de 9h à 18h pour essayer d'en savoir plus. 
Bien cordialement, ^ ",
Al'in,Aucune proposition d'offre,À qui puis-je m'adresser pour discuter de l'absence de propositions d'offres de logement ?,"Bonjour, nous avons bien reçu votre message. Si aucune offre ne vous est proposée, il se peut que la plateforme locative ne dispose pas pour le moment d'offres adaptées aux critères que vous avez renseigné. Nous vous invitons à élargir votre zone de recherche ou à patienter que de nouvelles offres correspondant à vos critères soient déposées sur la plateforme. Vous pouvez nous contacter au 0970 800 800 (appel non surtaxé), du lundi au vendredi, de 9h à 18h pour essayer d'en savoir plus. 
Bien cordialement, ^ ",
Al'in,Pourquoi dans ma recherche je ne peux pas voir des logements avec un loyer de plus d'un certain montant ?,Quels sont les critères qui limitent la visibilité des logements selon le montant du loyer dans mes recherches ?,"Bonjour, les logements vous sont proposés en fonction du montant de leur loyer qui doit être en adéquation avec le calcul des ressources de votre foyer (salaire(s), Aide Personnalisé au Logement (APL), etc.) et des éléments que vous avez transmis via la plateforme. Ces modalités sont identiques pour tous les demandeurs. Si vous estimez que ce calcul est erronné, nous vous invitons à vérifier que vous avez bien indiqué toutes les ressources de votre foyer dans votre dossier. 
Bien cordialement, ^",
Al'in,Pourquoi dans ma recherche je ne peux pas voir des logements avec un loyer de plus d'un certain montant ?,Comment puis-je modifier les paramètres de recherche pour voir des logements avec des loyers plus élevés ?,"Bonjour, les logements vous sont proposés en fonction du montant de leur loyer qui doit être en adéquation avec le calcul des ressources de votre foyer (salaire(s), Aide Personnalisé au Logement (APL), etc.) et des éléments que vous avez transmis via la plateforme. Ces modalités sont identiques pour tous les demandeurs. Si vous estimez que ce calcul est erronné, nous vous invitons à vérifier que vous avez bien indiqué toutes les ressources de votre foyer dans votre dossier. 
Bien cordialement, ^",
Al'in,Pourquoi dans ma recherche je ne peux pas voir des logements avec un loyer de plus d'un certain montant ?,Existe-t-il des restrictions basées sur ma situation financière qui influencent les résultats de recherche de logement que je reçois ?,"Bonjour, les logements vous sont proposés en fonction du montant de leur loyer qui doit être en adéquation avec le calcul des ressources de votre foyer (salaire(s), Aide Personnalisé au Logement (APL), etc.) et des éléments que vous avez transmis via la plateforme. Ces modalités sont identiques pour tous les demandeurs. Si vous estimez que ce calcul est erronné, nous vous invitons à vérifier que vous avez bien indiqué toutes les ressources de votre foyer dans votre dossier. 
Bien cordialement, ^",
Al'in,Il n'y a qu'une seule candidature sur l'offre de logement à laquelle j'ai postulé,Pourquoi y a-t-il si peu de candidatures sur certaines offres de logement ?,"Bonjour, nous avons bien reçu votre message et sommes navrés de la situation. Concernant votre candidature, si vous êtes la seule personne ayant postulé, le dossier n’est pas étudié. En effet, pour qu’elle soit transmise à la commission, il faut qu’au minimum trois personnes se positionnent sur l’offre.  
En nous excusant pour la gêne occasionnée. 
Bien cordialement ^","Si la date de clôture de l'offre est dépassée :
Nous allons faire remonter votre situation auprès de nos services. 
"
Al'in,Il n'y a qu'une seule candidature sur l'offre de logement à laquelle j'ai postulé,Est-ce que le faible nombre de candidatures influence le processus de sélection pour l'offre de logement ?,"Bonjour, nous avons bien reçu votre message et sommes navrés de la situation. Concernant votre candidature, si vous êtes la seule personne ayant postulé, le dossier n’est pas étudié. En effet, pour qu’elle soit transmise à la commission, il faut qu’au minimum trois personnes se positionnent sur l’offre.  
En nous excusant pour la gêne occasionnée. 
Bien cordialement ^","Si la date de clôture de l'offre est dépassée :
Nous allons faire remonter votre situation auprès de nos services. 
"
Al'in,Il n'y a qu'une seule candidature sur l'offre de logement à laquelle j'ai postulé,Que faire si je suis le seul candidat sur une offre et que je ne reçois pas de réponse ?,"Bonjour, nous avons bien reçu votre message et sommes navrés de la situation. Concernant votre candidature, si vous êtes la seule personne ayant postulé, le dossier n’est pas étudié. En effet, pour qu’elle soit transmise à la commission, il faut qu’au minimum trois personnes se positionnent sur l’offre.  
En nous excusant pour la gêne occasionnée. 
Bien cordialement ^","Si la date de clôture de l'offre est dépassée :
Nous allons faire remonter votre situation auprès de nos services. 
"
Al'in,L'offre à laquelle j'ai candidaté a disparu,Pourquoi une offre de logement à laquelle j'ai postulé pourrait-elle disparaître du site ?,"Bonjour, nous avons bien reçu votre message et sommes navrés de la situation. Concernant votre candidature, il faut qu’au minimum trois personnes se positionnent sur l’offre pour que celle-ci soit envoyée au bailleur.
En nous excusant pour la gêne occasionnée.
Bien cordialement ^",
Al'in,L'offre à laquelle j'ai candidaté a disparu,Que se passe-t-il avec ma candidature si l'offre de logement disparaît ?,"Bonjour, nous avons bien reçu votre message et sommes navrés de la situation. Concernant votre candidature, il faut qu’au minimum trois personnes se positionnent sur l’offre pour que celle-ci soit envoyée au bailleur.
En nous excusant pour la gêne occasionnée.
Bien cordialement ^",
Al'in,L'offre à laquelle j'ai candidaté a disparu,Comment puis-je vérifier le statut d'une offre de logement ou obtenir des informations après sa disparition ?,"Bonjour, nous avons bien reçu votre message et sommes navrés de la situation. Concernant votre candidature, il faut qu’au minimum trois personnes se positionnent sur l’offre pour que celle-ci soit envoyée au bailleur.
En nous excusant pour la gêne occasionnée.
Bien cordialement ^",
Al'in,"Je suis dans le TOP 5, ma candidature sera envoyée quand au bailleur ? ",Comment fonctionne le processus d'envoi des candidatures au bailleur pour ceux qui sont dans le TOP 5 ?,"Bonjour, une fois que vous êtes positionné(e) sur un logement, vous devez attendre la validation de votre dossier par Action Logement pour savoir si votre candidature sera adressée ou non au bailleur. La mention ""Top 5"" reste un indicateur de votre positionnement sur la totalité des dossiers déposés et ne constitue pas une garantie de transmission au bailleur, en effet 3 à 5 dossiers sont transmis selon le bailleur et le logement.
",
Al'in,"Je suis dans le TOP 5, ma candidature sera envoyée quand au bailleur ? ",À quel moment après être entré dans le TOP 5 ma candidature sera-t-elle transmise au bailleur ?,"Bonjour, une fois que vous êtes positionné(e) sur un logement, vous devez attendre la validation de votre dossier par Action Logement pour savoir si votre candidature sera adressée ou non au bailleur. La mention ""Top 5"" reste un indicateur de votre positionnement sur la totalité des dossiers déposés et ne constitue pas une garantie de transmission au bailleur, en effet 3 à 5 dossiers sont transmis selon le bailleur et le logement.
",
Al'in,"Je suis dans le TOP 5, ma candidature sera envoyée quand au bailleur ? ",Comment puis-je suivre l'état d'envoi de ma candidature au bailleur une fois que je suis dans le TOP 5,"Bonjour, une fois que vous êtes positionné(e) sur un logement, vous devez attendre la validation de votre dossier par Action Logement pour savoir si votre candidature sera adressée ou non au bailleur. La mention ""Top 5"" reste un indicateur de votre positionnement sur la totalité des dossiers déposés et ne constitue pas une garantie de transmission au bailleur, en effet 3 à 5 dossiers sont transmis selon le bailleur et le logement.
",
Al'in,Etat d'avancement dossier ,Comment puis-je vérifier l'état d'avancement de mon dossier de demande de logement ?,"Bonjour, nous avons bien reçu votre message. Pourriez-vous nous envoyer une capture d’écran de votre tableau de bord avec l’état de votre demande ? En vous remerciant par avance. 
Bien cordialement, ^ ",
Al'in,Etat d'avancement dossier ,Quelles sont les étapes pour consulter en ligne l'état d'avancement de mon dossier ?,"Bonjour, nous avons bien reçu votre message. Pourriez-vous nous envoyer une capture d’écran de votre tableau de bord avec l’état de votre demande ? En vous remerciant par avance. 
Bien cordialement, ^ ",
Al'in,Etat d'avancement dossier ,Qui contacter pour obtenir des informations détaillées si je constate des retards ou des problèmes avec l'avancement de mon dossier ?,"Bonjour, nous avons bien reçu votre message. Pourriez-vous nous envoyer une capture d’écran de votre tableau de bord avec l’état de votre demande ? En vous remerciant par avance. 
Bien cordialement, ^ ",
Al'in,"Statut ""en attente""","Que signifie le statut ""en attente"" pour mon dossier de demande de logement ?","Bonjour, merci de votre message. Malheureusement, sur ce canal de discussion, nous n'avons pas accès aux dossiers pour des raisons de confidentialité. Cependant le statut ""en attente"" indique que votre candidature au logement est en attente d'étude par nos équipes avant d'être transmis au bailleur. Vous serez alerté.e via votre espace personnel de tout avancement sur le statut de votre demande. Bien cordialement, ^",
Al'in,"Statut ""en attente""","Quelles sont les causes courantes pour lesquelles un dossier peut être placé ""en attente"" ?","Bonjour, merci de votre message. Malheureusement, sur ce canal de discussion, nous n'avons pas accès aux dossiers pour des raisons de confidentialité. Cependant le statut ""en attente"" indique que votre candidature au logement est en attente d'étude par nos équipes avant d'être transmis au bailleur. Vous serez alerté.e via votre espace personnel de tout avancement sur le statut de votre demande. Bien cordialement, ^",
Al'in,"Statut ""en attente""","Comment puis-je accélérer la résolution du statut ""en attente"" de mon dossier ?","Bonjour, merci de votre message. Malheureusement, sur ce canal de discussion, nous n'avons pas accès aux dossiers pour des raisons de confidentialité. Cependant le statut ""en attente"" indique que votre candidature au logement est en attente d'étude par nos équipes avant d'être transmis au bailleur. Vous serez alerté.e via votre espace personnel de tout avancement sur le statut de votre demande. Bien cordialement, ^",
Al'in,"""Transmis au baileur""",Quelles sont les étapes suivantes une fois que le dossier est marqué comme transmis au bailleur ?,"Bonjour, nous avons bien reçu votre message. Après sélection et envoi des dossiers au bailleur il y a un transfert de responsabilité qui s'opère quant à la suite des candidatures. Le bailleur et la commission en l'occurrence prennent souverainement le relais dans la procédure d'attribution avec des délais qui leur seront propres. Nous vous invitons à voir avec ces derniers pour en savoir davantage sur l'état d'avancement de votre candidature. En nous excusant pour la gêne occasionnée. 
Bien cordialement, ^",
Al'in,"""Transmis au baileur""",Quel est le délai habituel pour recevoir une réponse du bailleur après que mon dossier a été transmis ?,"Bonjour, nous avons bien reçu votre message. Après sélection et envoi des dossiers au bailleur il y a un transfert de responsabilité qui s'opère quant à la suite des candidatures. Le bailleur et la commission en l'occurrence prennent souverainement le relais dans la procédure d'attribution avec des délais qui leur seront propres. Nous vous invitons à voir avec ces derniers pour en savoir davantage sur l'état d'avancement de votre candidature. En nous excusant pour la gêne occasionnée. 
Bien cordialement, ^",
Al'in,"""Transmis au baileur""",À qui dois-je m'adresser pour obtenir des informations si le bailleur n'a pas réagi à mon dossier après une certaine période ?,"Bonjour, nous avons bien reçu votre message. Après sélection et envoi des dossiers au bailleur il y a un transfert de responsabilité qui s'opère quant à la suite des candidatures. Le bailleur et la commission en l'occurrence prennent souverainement le relais dans la procédure d'attribution avec des délais qui leur seront propres. Nous vous invitons à voir avec ces derniers pour en savoir davantage sur l'état d'avancement de votre candidature. En nous excusant pour la gêne occasionnée. 
Bien cordialement, ^",
Al'in,Nom du bailleur,Comment puis-je trouver le nom du bailleur associé à une offre de logement spécifique ?,"Bonjour, nous avons bien reçu votre message. Malheureusement, sur ce canal de discussion, nous n'avons pas accès aux dossiers ainsi qu'aux noms des bailleurs pour des raisons de confidentialité et de transparence. Nous ne pouvons donc répondre à votre demande. Pour ce type de renseignement, vous pouvez nous contacter au 0970 800 800 (appel non surtaxé), du lundi au vendredi, de 9h à 17h30. 
Autrement, voici la liste de nos agences et leurs coordonnées : https://www.actionlogement.fr/implantations 
En vous remerciant pour votre compréhension et nous excusant pour la gêne occasionnée. 
Bien cordialement, ^",
Al'in,Nom du bailleur,À qui dois-je m'adresser pour obtenir des informations sur le bailleur si son nom n'est pas mentionné clairement dans l'annonce ou dans mon dossier ?,"Bonjour, nous avons bien reçu votre message. Malheureusement, sur ce canal de discussion, nous n'avons pas accès aux dossiers ainsi qu'aux noms des bailleurs pour des raisons de confidentialité et de transparence. Nous ne pouvons donc répondre à votre demande. Pour ce type de renseignement, vous pouvez nous contacter au 0970 800 800 (appel non surtaxé), du lundi au vendredi, de 9h à 17h30. 
Autrement, voici la liste de nos agences et leurs coordonnées : https://www.actionlogement.fr/implantations 
En vous remerciant pour votre compréhension et nous excusant pour la gêne occasionnée. 
Bien cordialement, ^",
Al'in,Nom du bailleur,Existe-t-il des procédures à suivre pour demander des informations complémentaires sur le bailleur lorsque les informations sont manquantes ou incomplètes ?,"Bonjour, nous avons bien reçu votre message. Malheureusement, sur ce canal de discussion, nous n'avons pas accès aux dossiers ainsi qu'aux noms des bailleurs pour des raisons de confidentialité et de transparence. Nous ne pouvons donc répondre à votre demande. Pour ce type de renseignement, vous pouvez nous contacter au 0970 800 800 (appel non surtaxé), du lundi au vendredi, de 9h à 17h30. 
Autrement, voici la liste de nos agences et leurs coordonnées : https://www.actionlogement.fr/implantations 
En vous remerciant pour votre compréhension et nous excusant pour la gêne occasionnée. 
Bien cordialement, ^",
Al'in,Accès au dossier,Comment puis-je accéder à mon dossier de demande de logement sur Al'in ?,"Bonjour, nous avons bien reçu votre message. Malheureusement, sur ce canal de discussion, nous n'avons pas accès aux dossiers pour des raisons de confidentialité et de transparence. Afin d'en savoir davantage sur l'état d'avancement de votre demande, nous vous invitons à prendre contact avec le service via le 0970 800 800 (appel non surtaxé), disponible du lundi au vendredi de 9h à 17h30. Nous restons disponibles pour toute information complémentaire. 
Bien cordialement, ^",
Al'in,Accès au dossier,Y a-t-il des conditions spécifiques ou des permissions nécessaires pour accéder à mon dossier ?,"Bonjour, nous avons bien reçu votre message. Malheureusement, sur ce canal de discussion, nous n'avons pas accès aux dossiers pour des raisons de confidentialité et de transparence. Afin d'en savoir davantage sur l'état d'avancement de votre demande, nous vous invitons à prendre contact avec le service via le 0970 800 800 (appel non surtaxé), disponible du lundi au vendredi de 9h à 17h30. Nous restons disponibles pour toute information complémentaire. 
Bien cordialement, ^",
Al'in,Accès au dossier,Quelles sont les étapes pour consulter mon dossier en ligne sur la plateforme Al'in ?,"Bonjour, nous avons bien reçu votre message. Malheureusement, sur ce canal de discussion, nous n'avons pas accès aux dossiers pour des raisons de confidentialité et de transparence. Afin d'en savoir davantage sur l'état d'avancement de votre demande, nous vous invitons à prendre contact avec le service via le 0970 800 800 (appel non surtaxé), disponible du lundi au vendredi de 9h à 17h30. Nous restons disponibles pour toute information complémentaire. 
Bien cordialement, ^",
Al'in,Rang après CAL,Pouvez-vous expliquer ce que représente le rang attribué après la CAL et comment il est déterminé ?,"Bonjour, nous avons bien reçu votre demande. Malheureusement, nous n'avons pas accès à ce type d'information via ce canal de discussion. Nous vous invitons à bien vouloir patienter, le bailleur prendra contact avec vous dès qu'il aura fait son choix d'attribution et vous pourrez prendre connaissance de votre rang pour l'offre auquel vous avez postulé. Bien cordialement, ^",
Al'in,Rang après CAL,Que signifie mon rang après la Commission d'Attribution de Logements (CAL) ?,"Bonjour, nous avons bien reçu votre demande. Malheureusement, nous n'avons pas accès à ce type d'information via ce canal de discussion. Nous vous invitons à bien vouloir patienter, le bailleur prendra contact avec vous dès qu'il aura fait son choix d'attribution et vous pourrez prendre connaissance de votre rang pour l'offre auquel vous avez postulé. Bien cordialement, ^",
Al'in,Rang après CAL,Qui puis-je contacter pour discuter des options disponibles si je ne suis pas satisfait de mon rang actuel ?,"Bonjour, nous avons bien reçu votre demande. Malheureusement, nous n'avons pas accès à ce type d'information via ce canal de discussion. Nous vous invitons à bien vouloir patienter, le bailleur prendra contact avec vous dès qu'il aura fait son choix d'attribution et vous pourrez prendre connaissance de votre rang pour l'offre auquel vous avez postulé. Bien cordialement, ^",
Al'in,Désistement avant CAL,Comment puis-je me désister d'une candidature à un logement avant la Commission d'Attribution de Logements (CAL) ?,"Nous avons bien reçu votre message. Pourriez-vous nous confirmer que vous souhaitez vous désister de cette offre de logement svp ? Bien cordialement, ",
Al'in,Désistement avant CAL,Est-il possible de réactiver ma candidature si je change d'avis après un désistement mais avant la tenue de la CAL ?,"Nous avons bien reçu votre message. Pourriez-vous nous confirmer que vous souhaitez vous désister de cette offre de logement svp ? Bien cordialement, ",
Al'in,Désistement avant CAL,Quelles sont les conséquences d'un désistement avant la CAL pour ma candidature future ?,"Nous avons bien reçu votre message. Pourriez-vous nous confirmer que vous souhaitez vous désister de cette offre de logement svp ? Bien cordialement, ",
Al'in,Désistement/Refus d'attente après CAL,Quelles sont les démarches à suivre pour me désister ou refuser une offre après la Commission d'Attribution de Logements ?,"Bonjour, nous avons bien reçu votre message. Veuillez noter que votre classement au Rang 2/3 ne signifie pas que vous avez été refusé, mais que vous pouvez encore avoir accès à ce logement si le Rang 1 décide de ne pas accepter le logement. Nous vous invitons donc à attendre le temps que le Rang 1 prenne sa décision. Vous pouvez contacter votre bailleur afin d'en savoir plus sur l'avancement de la situation. Si toutefois vous ne souhaitez pas attendre et ainsi vous désister de cette candidature, merci de nous l'indiquer textuellement. En vous remerciant de votre compréhension et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
Al'in,Désistement/Refus d'attente après CAL,Puis-je me réinscrire ou redemander un logement après avoir refusé ou décliné une offre post-CAL ?,"Bonjour, nous avons bien reçu votre message. Veuillez noter que votre classement au Rang 2/3 ne signifie pas que vous avez été refusé, mais que vous pouvez encore avoir accès à ce logement si le Rang 1 décide de ne pas accepter le logement. Nous vous invitons donc à attendre le temps que le Rang 1 prenne sa décision. Vous pouvez contacter votre bailleur afin d'en savoir plus sur l'avancement de la situation. Si toutefois vous ne souhaitez pas attendre et ainsi vous désister de cette candidature, merci de nous l'indiquer textuellement. En vous remerciant de votre compréhension et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
Al'in,Désistement/Refus d'attente après CAL,"Si je me désiste ou refuse une offre après la CAL, quel est le délai avant que je puisse postuler à nouveau ?","Bonjour, nous avons bien reçu votre message. Veuillez noter que votre classement au Rang 2/3 ne signifie pas que vous avez été refusé, mais que vous pouvez encore avoir accès à ce logement si le Rang 1 décide de ne pas accepter le logement. Nous vous invitons donc à attendre le temps que le Rang 1 prenne sa décision. Vous pouvez contacter votre bailleur afin d'en savoir plus sur l'avancement de la situation. Si toutefois vous ne souhaitez pas attendre et ainsi vous désister de cette candidature, merci de nous l'indiquer textuellement. En vous remerciant de votre compréhension et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
Al'in,Attestation de rang ,"À qui dois-je m'adresser pour obtenir cette attestation, et y a-t-il des documents spécifiques à fournir ?","Nous avons bien reçu votre message. Si vous avez reçu un mail ou un courrier attestant de votre rang, pourriez-vous nous en transmettre une capture d'écran s'il vous plait ? En vous remerciant par avance et en nous excusant de la gêne occasionnée.
Bien cordialement, ^

Nous avons bien reçu votre message. Si vous avez reçu un mail ou un courrier attestant du fait que le Rang 1 a bien accepté le logement, pourriez-vous nous en transmettre une capture d'écran s'il vous plait ? En vous remerciant par avance et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
Al'in,Attestation de rang ,Cette attestation peut-elle être utilisée pour appuyer d'autres démarches administratives ou demandes de logement ?,"Nous avons bien reçu votre message. Si vous avez reçu un mail ou un courrier attestant de votre rang, pourriez-vous nous en transmettre une capture d'écran s'il vous plait ? En vous remerciant par avance et en nous excusant de la gêne occasionnée.
Bien cordialement, ^

Nous avons bien reçu votre message. Si vous avez reçu un mail ou un courrier attestant du fait que le Rang 1 a bien accepté le logement, pourriez-vous nous en transmettre une capture d'écran s'il vous plait ? En vous remerciant par avance et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
Al'in,Attestation de rang ,Quelle est l'utilité d'une attestation de rang et comment puis-je l'utiliser ?,"Nous avons bien reçu votre message. Si vous avez reçu un mail ou un courrier attestant de votre rang, pourriez-vous nous en transmettre une capture d'écran s'il vous plait ? En vous remerciant par avance et en nous excusant de la gêne occasionnée.
Bien cordialement, ^

Nous avons bien reçu votre message. Si vous avez reçu un mail ou un courrier attestant du fait que le Rang 1 a bien accepté le logement, pourriez-vous nous en transmettre une capture d'écran s'il vous plait ? En vous remerciant par avance et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
